"Timestamp","HostName","Protocol","State","CreationTime","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:03:14 AM","172.16.16.102","53837","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:03:14 AM","172.16.16.102","53836","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:03:14 AM","172.16.16.102","53835","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:03:14 AM","172.16.16.102","53834","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:02:46 AM","172.16.16.102","53762","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:02:46 AM","172.16.16.102","53761","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:02:46 AM","172.16.16.102","53759","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/2/2019 4:02:25 AM","127.0.0.1","49915","127.0.0.1","5927","4040"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/2/2019 3:59:58 AM","172.16.16.102","49779","172.16.16.100","4432","4208"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/2/2019 3:59:56 AM","172.16.16.102","49777","172.16.16.100","4432","4208"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/2/2019 3:58:27 AM","172.16.16.102","49758","172.16.16.100","4432","3004"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/2/2019 3:58:27 AM","172.16.16.102","49757","172.16.16.100","4432","3004"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/2/2019 3:58:26 AM","172.16.16.102","49756","172.16.16.100","4432","3004"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:12 AM","0.0.0.0","49671","0.0.0.0","0","1372"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:09 AM","0.0.0.0","49670","0.0.0.0","0","556"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:07 AM","0.0.0.0","49669","0.0.0.0","0","1792"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:06 AM","0.0.0.0","49668","0.0.0.0","0","1096"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:06 AM","0.0.0.0","49667","0.0.0.0","0","584"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:06 AM","0.0.0.0","49666","0.0.0.0","0","584"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:02 AM","0.0.0.0","49665","0.0.0.0","0","944"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:55:57 AM","0.0.0.0","49664","0.0.0.0","0","448"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:58:27 AM","0.0.0.0","7080","0.0.0.0","0","3004"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:58:27 AM","127.0.0.1","7070","0.0.0.0","0","3004"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/2/2019 4:02:26 AM","127.0.0.1","5927","127.0.0.1","49915","4028"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 4:00:15 AM","0.0.0.0","5927","0.0.0.0","0","4028"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 4:00:20 AM","0.0.0.0","5926","0.0.0.0","0","4040"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:03:23 AM","172.16.16.102","4899","172.16.16.102","53863","4"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/22/2019 6:03:25 AM","0.0.0.0","4748","0.0.0.0","0","6348"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/22/2019 6:03:26 AM","0.0.0.0","4747","0.0.0.0","0","6348"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:11:29 AM","172.16.16.102","4444","172.16.16.100","58734","4"
"20190826T012700+0200","QLIKSERVER3","TCP","TimeWait","1/1/1601 1:00:00 AM","172.16.16.102","4242","172.16.16.102","61561","0"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:04 AM","0.0.0.0","3389","0.0.0.0","0","856"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:55:36 AM","172.16.16.102","139","0.0.0.0","0","4"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:55:57 AM","0.0.0.0","135","0.0.0.0","0","724"
